prompt1,prompt2,label
a white house playing music in the garden,a red bicycle playing music in the city during twilight,0
a silver laptop reading a book in the city,a black cat cooking dinner under a tree,0
a blue car running in the park on the mountain,a blue automobile jogging in the park on the mountain,1
a yellow flower walking slowly at the park in the rain,a wooden chair reading a book by the lake in the rain,0
a yellow flower climbing the mountain under a tree on a sunny day,a yellow flower climbing the mountain below a tree atop a sunny day,1
a white house dancing happily beside the road,a glass window cooking dinner under a tree during storm,0
a blue car flying in the sky on the mountain,"positioned on the mountain, a blue car flying in the sky",1
a green tree sleeping on the couch in the city during twilight,a brown dog walking slowly beside the road during storm,0
a green tree swimming in the lake under a tree in the fog,a yellow flower flying in the sky on the mountain,0
a white house reading a book beside the road,a white house dancing happily near the river during sunset,0
a glass window running in the park beside the road at dawn,a glass window sprinting in the park beside the road at dawn,1
a red bicycle reading a book at the park,a glass window sleeping on the couch beside the road in moonlight,0
a yellow flower playing music under a tree at dawn,a wooden chair reading a book on the beach,0
a blue car cooking dinner in the garden,a white house running in the park in the forest during storm,0
a white house cooking dinner on the mountain during storm,a white dwelling cooking dinner on the mountain during storm,1
a red bicycle sleeping on the couch in the city in the snow,a black cat reading a book beside the road,0
a black cat reading a book on the mountain,a white house swimming in the lake in the city in moonlight,0
a black cat reading a book by the lake,a black kitty reading a book by the lake,1
a yellow flower reading a book at the park in the fog,a yellow flower reading a book at the park in the fog,1
a green tree swimming in the lake in the city,a glass window reading a book on the mountain,0
a glass window playing music on the beach,a blue car walking slowly near the river,0
a brown dog sleeping on the couch in the garden,a glass window reading a book on the mountain during storm,0
a glass window swimming in the lake beside the road during storm,a yellow flower reading a book on the beach,0
a wooden chair running in the park beside the road,a green tree running in the park on the mountain,0
a red bicycle swimming in the lake beside the road,a scarlet bike swimming in the lake beside the road,1
a glass window playing music near the river,a glass window playing music next to the river,1
a glass window swimming in the lake in the city under clear sky,a blue car dancing happily in the forest,0
a glass window walking slowly on the beach,a red bicycle playing music at the park,0
a blue car sleeping on the couch beside the road,a glass window playing music on the mountain,0
a wooden chair running in the park in the garden,a green tree cooking dinner beside the road,0
a silver laptop sleeping on the couch beside the road,a red bicycle flying in the sky in the city under clear sky,0
a green tree dancing happily by the lake on a sunny day,a white house dancing happily on the mountain,0
a wooden chair sleeping on the couch on the mountain,a wooden chair sleeping over the couch upon the mountain,1
a green tree swimming in the lake on the beach,a silver laptop running in the park in the city during sunset,0
a glass window walking slowly at the park,a glass window walking slowly at the park,1
a wooden chair reading a book on the mountain,a wooden chair reading a book on the mountain,1
a blue car flying in the sky beside the road during sunset,a azure vehicle flying in the sky beside the road during sunset,1
a red bicycle playing music in the garden,a green tree flying in the sky on the beach,0
a green tree walking slowly at the park in the rain,a forest green tree pacing slowly at the park in the rain,1
a black cat running in the park at the park in the rain,a black kitten running in the park at the park in the rain,1
a brown dog climbing the mountain by the lake,a wooden chair cooking dinner beside the road in the snow,0
a yellow flower flying in the sky on the beach,a silver laptop climbing the mountain in the city during storm,0
a green tree climbing the mountain on the beach during storm,"positioned on the beach during storm, a green tree climbing the mountain",1
a black cat dancing happily at the park under clear sky,"beneath clear sky, a black cat dancing happily at the park",1
a wooden chair walking slowly under a tree,a black cat walking slowly in the garden,0
a red bicycle reading a book on the beach,"positioned on the beach, a red bicycle reading a book",1
a red bicycle cooking dinner by the lake in the fog,a crimson two-wheeler cooking dinner by the lake in the fog,1
a white house playing music on the mountain,"positioned on the mountain, a white house playing music",1
a white house running in the park under a tree,a white dwelling running in the park beneath a tree,1
a glass window running in the park in the garden,a glass window sprinting in the park in the garden,1
a green tree walking slowly in the city,a emerald tree walking slowly in the city,1
a blue car sleeping on the couch on the mountain,a red bicycle swimming in the lake in the city,0
a yellow flower reading a book at the park in the fog,a yellow flower reading a book at the park in the fog,1
a blue car on the road,una macchina blu sulla strada,1
a brown dog running in the park in the forest in the snow,a brown dog racing in the park in the forest in the snow,1
a blue car playing music beside the road,a glass window reading a book under a tree,0
a wooden chair climbing the mountain by the lake,a wooden chair climbing the mountain by the lake,1
a green tree running in the park at the park in the fog,a emerald tree sprinting in the park at the park in the fog,1
a glass window sleeping on the couch on the mountain,a blue car flying in the sky in the forest,0
a brown dog flying in the sky at the park on a sunny day,a yellow flower sleeping on the couch in the city,0
a white house climbing the mountain in the garden under clear sky,"beneath clear sky, a white house climbing the mountain in the garden",1
a glass window reading a book on the mountain during sunset,a green tree sleeping on the couch in the forest,0
a yellow flower climbing the mountain beside the road during twilight,a white house swimming in the lake on the beach,0
a blue car dancing happily on the beach on a sunny day,a silver laptop walking slowly in the forest,0
a green tree cooking dinner at the park on a sunny day,a black cat sleeping on the couch at the park in the fog,0
a black cat swimming in the lake by the lake in moonlight,a black feline swimming in the lake by the lake in moonlight,1
a blue car sleeping on the couch in the garden,a azure vehicle sleeping over the couch in the garden,1
a brown dog flying in the sky by the lake,a brown canine flying in the sky by the lake,1
a yellow flower reading a book in the forest in the rain,a yellow flower reading a book in the forest in the rain,1
a red bicycle swimming in the lake by the lake in moonlight,a black cat reading a book on the mountain in the rain,0
a yellow flower swimming in the lake in the city,a yellow flower flying in the sky in the city,0
a yellow flower flying in the sky beside the road,a red bicycle playing music at the park,0
a black cat swimming in the lake on the mountain,"positioned on the mountain, a black cat swimming in the lake",1
a glass window walking slowly at the park,a yellow flower playing music at the park,0
a glass window climbing the mountain in the forest,a glass window climbing the mountain in the forest,1
a brown dog running in the park on the beach,"positioned on the beach, a brown dog running in the park",1
a yellow flower cooking dinner at the park,a yellow flower cooking dinner at the park,1
a glass window cooking dinner in the forest during storm,a green tree walking slowly under a tree,0
a white house climbing the mountain at the park,a red bicycle climbing the mountain at the park,0
a yellow flower swimming in the lake on the beach,a green tree swimming in the lake in the forest,0
a wooden chair dancing happily near the river,a wooden chair dancing happily beside the river,1
a white house running in the park in the city,a yellow flower playing music by the lake,0
a brown dog flying in the sky in the garden on a sunny day,"positioned on a sunny day, a brown dog flying in the sky in the garden",1
a black cat cooking dinner at the park,a black kitten cooking dinner at the park,1
a yellow flower dancing happily by the lake,a glass window sleeping on the couch near the river during storm,0
a yellow flower swimming in the lake under a tree,a silver laptop playing music under a tree,0
a brown dog reading a book in the garden on a sunny day,a black cat playing music in the forest,0
a blue car walking slowly in the garden,a white house sleeping on the couch on the beach,0
a brown dog running in the park in the forest in the snow,a brown hound running in the park in the forest in the snow,1
a brown dog swimming in the lake near the river,a green tree sleeping on the couch by the lake,0
a white house sleeping on the couch by the lake at dawn,a red bicycle sleeping on the couch at the park,0
a blue car dancing happily beside the road,a blue auto dancing happily beside the road,1
a red bicycle dancing happily on the beach,a green tree dancing happily at the park,0
a glass window reading a book on the mountain,a blue car cooking dinner by the lake under clear sky,0
a silver laptop playing music on the beach,a green tree sleeping on the couch in the garden,0
a green tree running in the park at the park in the rain,a glass window dancing happily under a tree,0
a wooden chair dancing happily beside the road during storm,a silver laptop playing music by the lake,0
a yellow flower cooking dinner in the garden in the fog,a yellow flower cooking dinner in the garden in the fog,1
a glass window dancing happily near the river,a brown dog running in the park in the city in the rain,0
a red bicycle running in the park by the lake,a scarlet two-wheeler running in the park by the lake,1
a white house playing music in the garden in the fog,a green tree walking slowly on the mountain,0
a yellow flower cooking dinner at the park in moonlight,a yellow flower cooking dinner at the park in moonlight,1
a black cat sleeping on the couch in the garden during twilight,a red bicycle dancing happily near the river under clear sky,0
a wooden chair sleeping on the couch by the lake in moonlight,a wooden chair sleeping over the couch by the lake in moonlight,1
a red bicycle flying in the sky by the lake,a glass window flying in the sky on the mountain,0
a yellow flower cooking dinner beside the road,a yellow flower cooking dinner beside the road,1
a red bicycle cooking dinner by the lake in the snow,a wooden chair reading a book on the beach in moonlight,0
a blue car playing music by the lake,a wooden chair running in the park in the forest during storm,0
a black cat walking slowly on the beach,a wooden chair walking slowly by the lake,0
a glass window cooking dinner in the forest,a blue car playing music at the park during twilight,0
a blue car climbing the mountain at the park on a sunny day,a green tree sleeping on the couch on the beach,0
a brown dog sleeping on the couch near the river on a sunny day,a blue car flying in the sky at the park,0
a wooden chair playing music near the river,a wooden chair playing music close to the river,1
a white house swimming in the lake in the forest,a white dwelling swimming in the lake in the forest,1
a glass window dancing happily by the lake in moonlight,a glass window dancing happily by the lake in moonlight,1
a white house flying in the sky in the forest during sunset,a white house flying in the sky in the forest during sunset,1
a wooden chair climbing the mountain in the garden,a wooden chair climbing the mountain in the garden,1
a blue car running in the park in the garden under clear sky,a black cat playing music under a tree,0
a blue car swimming in the lake under a tree in the fog,a wooden chair flying in the sky under a tree,0
a silver laptop reading a book at the park,a green tree swimming in the lake in the garden,0
a red bicycle running in the park in the forest,a blue car sleeping on the couch in the city,0
a yellow flower flying in the sky in the garden,a yellow flower flying in the sky in the garden,1
a green tree sleeping on the couch near the river,a red bicycle climbing the mountain in the garden,0
a black cat climbing the mountain in the city,a black feline climbing the mountain in the city,1
a yellow flower dancing happily by the lake,a yellow flower dancing happily by the lake,1
a white house walking slowly at the park,a white house walking slowly at the park,1
a white house walking slowly on the mountain during storm,a brown dog flying in the sky near the river on a sunny day,0
a blue car dancing happily in the city,a azure auto dancing happily in the city,1
a red bicycle reading a book in the city,a white house swimming in the lake in the city,0
a glass window flying in the sky beside the road,a glass window flying in the sky beside the road,1
a glass window sleeping on the couch at the park,"positioned on the couch at the park, a glass window sleeping",1
a yellow flower cooking dinner in the city,a black cat swimming in the lake at the park during storm,0
a blue car climbing the mountain in the forest at dawn,a silver laptop swimming in the lake by the lake in the rain,0
a glass window sleeping on the couch in the garden under clear sky,a wooden chair cooking dinner by the lake,0
a blue car flying in the sky on the beach,"positioned on the beach, a blue car flying in the sky",1
a brown dog walking slowly on the mountain during twilight,a glass window walking slowly by the lake during twilight,0
a glass window walking slowly at the park,a glass window ambling slowly at the park,1
a black cat reading a book at the park,a black cat reading a book at the park,1
a blue car flying in the sky on the mountain in the snow,"positioned on the mountain in the snow, a blue car flying in the sky",1
a green tree running in the park on the mountain,a black cat reading a book beside the road,0
a silver laptop reading a book near the river in the fog,a silver laptop reading a book beside the river in the fog,1
a black cat walking slowly near the river during sunset,a white house walking slowly on the mountain,0
a wooden chair sleeping on the couch beside the road in moonlight,a blue car sleeping on the couch at the park during twilight,0
a glass window dancing happily near the river,a glass window dancing happily near the river,1
a red bicycle playing music in the forest,a black cat walking slowly on the beach,0
a glass window sleeping on the couch under a tree,a silver laptop playing music beside the road in the snow,0
a yellow flower dancing happily near the river,a yellow flower dancing happily close to the river,1
a wooden chair running in the park at the park,a white house playing music under a tree,0
a black cat reading a book in the city on a sunny day,a red bicycle sleeping on the couch beside the road,0
a wooden chair playing music in the forest,a wooden chair playing music in the forest,1
a brown dog sleeping on the couch near the river during twilight,a brown dog dancing happily on the beach,0
a yellow flower sleeping on the couch in the garden,a yellow flower sleeping on the couch in the garden,1
a glass window swimming in the lake on the mountain,"positioned on the mountain, a glass window swimming in the lake",1
a green tree running in the park by the lake in the fog,a silver laptop climbing the mountain on the beach,0
a green tree reading a book in the city,a silver laptop dancing happily under a tree,0
a glass window running in the park beside the road,a glass window running in the park beside the road,1
a glass window cooking dinner at the park,a white house sleeping on the couch near the river,0
a glass window walking slowly on the beach,a black cat swimming in the lake under a tree during sunset,0
a wooden chair playing music by the lake in moonlight,a white house flying in the sky in the city on a sunny day,0
a silver laptop walking slowly by the lake,a green tree playing music near the river during sunset,0
a blue car cooking dinner by the lake during twilight,a azure car cooking dinner by the lake during twilight,1
a wooden chair flying in the sky beside the road,a wooden chair flying in the sky beside the road,1
a white house climbing the mountain in the city,a white home climbing the mountain in the city,1
a silver laptop walking slowly on the beach,a brown dog running in the park on the mountain on a sunny day,0
a white house flying in the sky on the beach,a red bicycle cooking dinner on the mountain,0
a wooden chair walking slowly in the city,a black cat playing music in the forest in the snow,0
a white house sleeping on the couch beside the road,"positioned on the couch beside the road, a white house sleeping",1
a silver laptop sleeping on the couch under a tree in the fog,a wooden chair playing music on the mountain,0
a silver laptop climbing the mountain beside the road in the rain,a silver laptop climbing the mountain beside the road in the rain,1
a glass window flying in the sky in the city,a glass window flying in the sky in the city,1
a yellow flower reading a book near the river,a wooden chair dancing happily at the park,0
a yellow flower dancing happily near the river in the rain,a black cat flying in the sky on the mountain,0
a brown dog sleeping on the couch in the forest during twilight,a wooden chair running in the park at the park,0
a brown dog running in the park in the garden in moonlight,a glass window reading a book beside the road in the snow,0
a glass window climbing the mountain near the river,a yellow flower swimming in the lake in the city at dawn,0
a wooden chair walking slowly in the forest,a green tree cooking dinner beside the road,0
a brown dog cooking dinner near the river,a black cat running in the park beside the road,0
a wooden chair reading a book in the city,a white house climbing the mountain on the mountain,0
a wooden chair playing music near the river,a wooden chair playing music close to the river,1
a white house flying in the sky on the beach,a black cat climbing the mountain in the garden,0
a glass window cooking dinner by the lake,a black cat climbing the mountain on the mountain,0
a white house climbing the mountain in the garden,a yellow flower swimming in the lake in the forest,0
a wooden chair dancing happily at the park,a wooden chair sleeping on the couch at the park during sunset,0
a yellow flower sleeping on the couch in the city,a yellow flower sleeping upon the couch in the city,1
a silver laptop swimming in the lake under a tree,"beneath a tree, a silver laptop swimming in the lake",1
a yellow flower climbing the mountain in the garden during sunset,a yellow flower climbing the mountain in the garden during sunset,1
a wooden chair running in the park by the lake,a yellow flower swimming in the lake under a tree in the snow,0
a blue car playing music on the mountain,a blue vehicle playing music on the mountain,1
a green tree sleeping on the couch by the lake in the rain,"positioned on the couch by the lake in the rain, a green tree sleeping",1
a yellow flower swimming in the lake in the city,a yellow flower swimming in the lake in the city,1
a wooden chair playing music on the beach at dawn,a green tree swimming in the lake on the mountain,0
a black cat running in the park in the forest,a red bicycle sleeping on the couch on the mountain,0
a blue car cooking dinner on the beach,a red bicycle cooking dinner in the city,0
a silver laptop flying in the sky beside the road,a black cat flying in the sky in the garden in the snow,0
a blue car playing music on the beach,a wooden chair cooking dinner by the lake in the snow,0
a white house reading a book on the mountain,"positioned on the mountain, a white house reading a book",1
a silver laptop reading a book on the beach,a glass window flying in the sky on the beach,0
a yellow flower climbing the mountain at the park,a yellow flower climbing the mountain at the park,1
a blue car swimming in the lake in the garden,a yellow flower swimming in the lake in the forest in the snow,0
a red bicycle flying in the sky at the park,a glass window reading a book near the river in the fog,0
a black cat walking slowly by the lake,a black cat strolling slowly by the lake,1
a silver laptop running in the park at the park,a yellow flower sleeping on the couch in the forest,0
a yellow flower dancing happily in the garden,a yellow flower dancing happily in the garden,1
a silver laptop climbing the mountain by the lake in the rain,a silver laptop climbing the mountain by the lake in the rain,1
a wooden chair dancing happily beside the road,a wooden chair dancing happily beside the road,1
a blue car sleeping on the couch in the garden,"positioned on the couch in the garden, a blue car sleeping",1
a silver laptop climbing the mountain in the city,a brown dog cooking dinner under a tree,0
a blue car playing music on the mountain,a wooden chair cooking dinner by the lake,0
a green tree cooking dinner in the city,a white house playing music at the park,0
a white house flying in the sky in the forest,a yellow flower sleeping on the couch at the park,0
a wooden chair dancing happily on the beach on a sunny day,a wooden chair dancing happily on the beach over a sunny day,1
a glass window cooking dinner on the mountain in moonlight,a glass window cooking dinner atop the mountain in moonlight,1
a blue car flying in the sky at the park,a cobalt car flying in the sky at the park,1
a brown dog cooking dinner under a tree in moonlight,a white house sleeping on the couch by the lake,0
a black cat walking slowly in the forest,a white house sleeping on the couch in the garden,0
a wooden chair climbing the mountain by the lake,a wooden chair climbing the mountain by the lake,1
a silver laptop cooking dinner in the garden in the snow,a brown dog flying in the sky by the lake during sunset,0
a green tree dancing happily on the mountain,"positioned on the mountain, a green tree dancing happily",1
a glass window walking slowly in the city,a yellow flower swimming in the lake in the forest in the snow,0
a yellow flower climbing the mountain near the river,a red bicycle sleeping on the couch beside the road,0
a red bicycle dancing happily near the river in moonlight,"positioned onlight, a red bicycle dancing happily near the river in mo",1
a black cat cooking dinner beside the road,a black kitty cooking dinner beside the road,1
a yellow flower playing music beside the road under clear sky,a silver laptop reading a book at the park during storm,0
a glass window cooking dinner near the river,a glass window cooking dinner near the river,1
a white house swimming in the lake in the garden,a black cat sleeping on the couch on the beach,0
a glass window playing music in the city during twilight,a glass window playing music in the city during twilight,1
a silver laptop cooking dinner near the river on a sunny day,a yellow flower flying in the sky on the beach,0
a black cat playing music in the city,a black kitty playing music in the city,1
a blue car flying in the sky in the city,a glass window climbing the mountain at the park,0
a black cat cooking dinner on the beach,a yellow flower walking slowly near the river on a sunny day,0
a glass window climbing the mountain in the city during twilight,a glass window climbing the mountain in the city during twilight,1
a white house dancing happily beside the road,a black cat walking slowly by the lake in the fog,0
a black cat dancing happily in the garden,a glass window cooking dinner near the river,0
a red bicycle dancing happily on the beach,a red bicycle dancing happily over the beach,1
a green tree reading a book on the beach in the snow,a olive tree reading a book upon the beach in the snow,1
a white house climbing the mountain on the mountain under clear sky,a silver laptop climbing the mountain on the beach,0
a yellow flower walking slowly at the park,a yellow flower ambling slowly at the park,1
a blue car cooking dinner in the garden in the snow,a azure automobile cooking dinner in the garden in the snow,1
a green tree flying in the sky on the beach,a blue car cooking dinner near the river,0
a blue car running in the park at the park,a brown dog flying in the sky at the park at dawn,0
a red bicycle walking slowly beside the road during sunset,a green tree flying in the sky at the park,0
a silver laptop swimming in the lake in the city in the rain,a white house walking slowly under a tree,0
a red bicycle swimming in the lake in the city,a red bicycle reading a book near the river,0
a white house cooking dinner in the forest in the fog,a green tree sleeping on the couch in the garden during storm,0
a yellow flower swimming in the lake beside the road,a red bicycle swimming in the lake at the park,0
a wooden chair flying in the sky near the river,a black cat swimming in the lake on the beach in the rain,0
a wooden chair playing music at the park in the fog,a wooden chair playing music at the park in the fog,1
a blue car swimming in the lake on the beach,a blue car reading a book by the lake,0
a wooden chair dancing happily near the river,a wooden chair dancing happily near the river,1
a wooden chair flying in the sky in the city,a brown dog flying in the sky in the city,0
a black cat climbing the mountain on the mountain,"positioned on the mountain, a black cat climbing the mountain",1
a black cat swimming in the lake on the mountain,a wooden chair walking slowly at the park,0
a brown dog running in the park in the forest in the rain,a yellow flower playing music at the park under clear sky,0
a glass window dancing happily in the city under clear sky,a white house running in the park near the river,0
a red bicycle playing music near the river,a red bicycle cooking dinner in the garden,0
a white house running in the park under a tree,"beneath a tree, a white house running in the park",1
a glass window dancing happily in the forest,a black cat running in the park by the lake,0
a green tree climbing the mountain in the city in the rain,a green tree playing music at the park,0
a glass window running in the park by the lake,a glass window jogging in the park by the lake,1
a red bicycle reading a book in the garden,a red bike reading a book in the garden,1
a wooden chair swimming in the lake beside the road,a brown dog walking slowly beside the road in the fog,0
a green tree playing music in the city,a red bicycle reading a book at the park,0
a brown dog flying in the sky on the beach,a glass window reading a book in the city,0
a wooden chair cooking dinner beside the road,a yellow flower dancing happily in the city during storm,0
a brown dog cooking dinner in the forest,a brown dog cooking dinner in the forest,1
a brown dog flying in the sky on the beach,a glass window dancing happily beside the road,0
a green tree reading a book in the forest in the fog,a green tree walking slowly on the mountain,0
a green tree dancing happily near the river,a green tree cooking dinner in the garden,0
a green tree walking slowly on the beach,a wooden chair reading a book in the garden,0
a blue car reading a book on the beach,a green tree reading a book beside the road,0
a white house dancing happily at the park,a green tree climbing the mountain at the park in the fog,0
a white house sleeping on the couch on the beach,a blue car swimming in the lake in the garden in the fog,0
a black cat running in the park beside the road,a black cat flying in the sky in the city,0
a glass window walking slowly at the park in the snow,a glass window walking slowly at the park in the snow,1
a blue car walking slowly by the lake,a navy automobile walking slowly by the lake,1
a glass window reading a book in the forest on a sunny day,a wooden chair walking slowly by the lake,0
a wooden chair cooking dinner on the mountain,a red bicycle walking slowly beside the road,0
a green tree playing music on the beach,a blue car climbing the mountain in the forest on a sunny day,0
a brown dog flying in the sky in the garden,a brown dog flying in the sky in the garden,1
a yellow flower running in the park in the city,a green tree climbing the mountain on the beach in the fog,0
a glass window walking slowly in the forest,a wooden chair reading a book in the city,0
a brown dog running in the park in the forest,a blue car running in the park on the mountain,0
a green tree swimming in the lake in the garden,a blue car cooking dinner on the beach,0
a red bicycle dancing happily in the forest,a crimson two-wheeler dancing happily in the forest,1
a green tree running in the park in the forest,a black cat walking slowly at the park under clear sky,0
a blue car climbing the mountain beside the road in the snow,a glass window running in the park beside the road in the snow,0
a green tree dancing happily at the park,a forest green tree dancing happily at the park,1
a silver laptop sleeping on the couch at the park,"positioned on the couch at the park, a silver laptop sleeping",1
a blue car swimming in the lake at the park in the fog,a blue car swimming in the lake at the park in the fog,1
a wooden chair reading a book on the beach,"positioned on the beach, a wooden chair reading a book",1
a red bicycle climbing the mountain in the garden,a cherry bicycle climbing the mountain in the garden,1
a wooden chair swimming in the lake at the park,a black cat sleeping on the couch under a tree,0
a silver laptop flying in the sky on the beach,a blue car climbing the mountain beside the road during storm,0
a wooden chair running in the park at the park,a silver laptop reading a book under a tree during sunset,0
a glass window sleeping on the couch on the beach,a red bicycle cooking dinner in the forest,0
a black cat climbing the mountain on the mountain,"positioned on the mountain, a black cat climbing the mountain",1
a silver laptop flying in the sky on the beach,"positioned on the beach, a silver laptop flying in the sky",1
a white house dancing happily on the mountain,a white house sleeping on the couch near the river in the rain,0
a glass window swimming in the lake near the river,a silver laptop swimming in the lake in the garden during storm,0
a white house playing music beside the road,a white residence playing music beside the road,1
a green tree swimming in the lake on the mountain,"positioned on the mountain, a green tree swimming in the lake",1
a glass window playing music by the lake,a glass window playing music by the lake,1
a yellow flower playing music on the mountain,a wooden chair sleeping on the couch beside the road,0
a green tree playing music under a tree,a brown dog swimming in the lake in the garden,0
a wooden chair dancing happily beside the road,a red bicycle dancing happily beside the road,0
a red bicycle sleeping on the couch on the mountain,a red bicycle walking slowly beside the road in the fog,0
a wooden chair dancing happily by the lake,a wooden chair dancing happily by the lake,1
a yellow flower cooking dinner near the river,a black cat climbing the mountain at the park,0
a white house reading a book in the garden on a sunny day,"positioned on a sunny day, a white house reading a book in the garden",1
a black cat playing music at the park,a black cat playing music at the park,1
a silver laptop dancing happily beside the road,a silver laptop dancing happily beside the road,1
a yellow flower cooking dinner on the mountain,a yellow flower cooking dinner over the mountain,1
a yellow flower sleeping on the couch under a tree,a yellow flower sleeping upon the couch under a tree,1
a wooden chair reading a book in the city,a wooden chair reading a book in the city,1
a white house swimming in the lake under a tree,a silver laptop dancing happily in the garden,0
a brown dog running in the park in the garden during sunset,a glass window swimming in the lake under a tree,0
a blue car playing music in the garden,a glass window walking slowly in the forest,0
a green tree walking slowly in the garden,a silver laptop swimming in the lake under a tree,0
a yellow flower walking slowly at the park,a white house climbing the mountain under a tree,0
a red bicycle swimming in the lake on the mountain,a black cat running in the park at the park during twilight,0
a white house cooking dinner near the river at dawn,a brown dog cooking dinner at the park during twilight,0
a wooden chair cooking dinner in the garden,a silver laptop reading a book by the lake in the snow,0
a yellow flower walking slowly on the mountain,"positioned on the mountain, a yellow flower walking slowly",1
a white house cooking dinner on the beach,a green tree flying in the sky at the park,0
a blue car playing music in the forest,a black cat cooking dinner by the lake,0
a silver laptop walking slowly in the garden,a silver laptop walking slowly in the garden,1
a white house dancing happily on the mountain during sunset,a brown dog playing music at the park,0
a blue car cooking dinner on the mountain,a yellow flower swimming in the lake at the park,0
a silver laptop sleeping on the couch by the lake,a wooden chair dancing happily by the lake,0
a blue car playing music by the lake,a navy auto playing music by the lake,1
a wooden chair reading a book at the park,a wooden chair reading a book at the park,1
a glass window walking slowly at the park,a glass window ambling slowly at the park,1
a silver laptop climbing the mountain near the river,a silver laptop climbing the mountain next to the river,1
a wooden chair flying in the sky in the forest,a wooden chair flying in the sky in the forest,1
a silver laptop reading a book in the garden,a silver laptop climbing the mountain near the river,0
a brown dog flying in the sky on the beach,a white house swimming in the lake on the mountain,0
a blue car reading a book beside the road,a navy automobile reading a book beside the road,1
a silver laptop walking slowly beside the road,a blue car climbing the mountain by the lake,0
a blue car cooking dinner on the mountain,a glass window cooking dinner in the forest on a sunny day,0
a silver laptop running in the park near the river,a red bicycle flying in the sky beside the road in the snow,0
a yellow flower walking slowly beside the road in the fog,a silver laptop sleeping on the couch at the park,0
a white house playing music on the beach during sunset,"positioned on the beach during sunset, a white house playing music",1
a glass window flying in the sky near the river,a white house reading a book near the river,0
a red bicycle dancing happily at the park,a red bike dancing happily at the park,1
a black cat climbing the mountain beside the road,a black feline climbing the mountain beside the road,1
a wooden chair reading a book beside the road,a red bicycle dancing happily under a tree,0
a red bicycle climbing the mountain near the river,a green tree sleeping on the couch near the river,0
a blue car playing music on the mountain,a black cat cooking dinner near the river,0
a glass window running in the park near the river,a glass window running in the park near the river,1
a blue car flying in the sky by the lake in moonlight,a brown dog swimming in the lake by the lake at dawn,0
a white house swimming in the lake near the river,a white house dancing happily in the garden,0
a glass window playing music in the garden during twilight,a white house walking slowly under a tree,0
a yellow flower sleeping on the couch in the forest during storm,a black cat reading a book in the city,0
a yellow flower walking slowly by the lake during storm,a yellow flower walking slowly by the lake during storm,1
